normalized-unmatched-count	unmatched-count	total-class-count	normalized-unmatched-count
Name-Person-Name_Person	0.19500266985674442	85090	159541	0.5333425263725312
Name-Organization-Corporation-Company	0.06850646151166602	29893	40326	0.7412835391558796
Name-Organization-Organization_Other	0.05522592946536405	24098	29944	0.8047689019503073
Name-Product-Product_Other	0.04970287817432217	21688	24791	0.8748336089709975
Name-Location-GPE-GPE_Other	0.039875971976816936	17400	28232	0.6163219042221593
Name-Event-Occasion-MilitaryConflict	0.03703652776536428	16161	19445	0.8311133967600925
Name-Organization-Show_Organization	0.025163113350887927	10980	15276	0.7187745483110762
Name-Facility-GOE-School	0.0229745183372178	10025	14540	0.6894773039889959
Name-Facility-GOE-GOE_Other	0.02093488528782889	9135	13239	0.690006798096533
Name-Product-Art-Book	0.020167158241148796	8800	12796	0.6877149109096593
Name-Product-Art-Broadcast_Program	0.01984173364225753	8658	12137	0.7133558540001648
Name-Event-Occasion-Game	0.018558369026911697	8098	10560	0.7668560606060606
Name-Organization-Political_Organization-Military	0.018540035246692472	8090	9929	0.8147849733105046
Name-Location-GPE-Country	0.017948770834622426	7832	9328	0.839622641509434
Name-Location-Location_Other	0.01771272341429989	7729	10523	0.7344863632044094
Name-Disease	0.016972497037948633	7406	7635	0.9700065487884741
Name-Natural_Object-Living_Thing-Plant	0.016761658565427533	7314	7676	0.9528400208441897
Name-Product-Art-Music	0.014506603598462713	6330	11062	0.5722292532995842
Name-Organization-Sports_Organization-Pro_Sports_Organization	0.014233888617701723	6211	8395	0.7398451459201906
Name-Natural_Object-Compound	0.013638040760576873	5951	6068	0.9807185234014503
Name-Organization-Ethnic_Group_other	0.011692368334811494	5102	5545	0.9201082055906222
Name-Event-Historical_Event	0.011616741491407186	5069	5251	0.9653399352504285
Name-Person-Fictional	0.011408194741413488	4978	5346	0.9311634867190423
Name-Location-GPE-City	0.011217981771639017	4895	10094	0.4849415494353081
Name-Person-Other	0.011158396985926532	4869	5598	0.8697749196141479
Name-Product-Vehicle-Aircraft	0.010365460991444999	4523	4930	0.9174442190669371
Name-Product-Weapon-Object	0.010081287398046994	4399	4824	0.9118988391376451
Name-Product-Vehicle-Car	0.009590858777182694	4185	4477	0.9347777529595711
Name-Organization-Political_Organization-Government	0.008779589002481936	3831	5001	0.7660467906418716
Name-Natural_Object-Living_Thing_Part-Living_Thing_Part	0.008678753211276192	3787	3959	0.9565546855266481
Name-Facility-Facility_Other	0.008477081628864704	3699	5413	0.6833548863846296
Name-Product-Food_Other	0.008380829282713767	3657	3922	0.9324324324324325
Name-Product-Award	0.00822270042832294	3588	4564	0.7861524978089395
Name-Event-Occasion_Other	0.007796440038225932	3402	4531	0.7508276318693445
Name-Natural_Object-Living_Thing-Living_Thing_Other	0.0076772704668009615	3350	3545	0.9449929478138223
Name-Facility-Line-Road	0.007191425290991468	3138	4426	0.7089923181201988
Name-Product-Language-National_Language	0.006898084807483849	3010	3814	0.7891976927110645
Name-Organization-Political_Organization-Political_Party	0.006629953271777666	2893	4107	0.7044071098125152
Name-Product-Printing-Printing_Other	0.0060432723047624285	2637	3897	0.6766743648960739
Name-Product-Art-Movie	0.006029521969598009	2631	7143	0.36833263334733307
Name-Natural_Object-Living_Thing-Mammal	0.005626178804775033	2455	2726	0.9005869405722671
Name-Product-Vehicle-Ship	0.0055620105740077416	2427	2726	0.8903154805575936
Name-Facility-GOE-Station	0.005270961813027526	2300	3629	0.6337834114081015
Name-Location-Geological_Region-River	0.0052365859751164765	2285	3545	0.6445698166431594
Name-Product-Doctrine_Method-Culture	0.005220543917424654	2278	2519	0.9043271139341008
Name-Natural_Object-Living_Thing-Insect	0.0043519810795388135	1899	1999	0.9499749874937469
Name-Organization-Sports_Organization-Sports_League	0.004317605241627765	1884	2310	0.8155844155844156
Name-Facility-GOE-Airport	0.004175518444928762	1822	2979	0.61161463578382
Name-Product-Doctrine_Method-Doctrine_Method_Other	0.003916553799332192	1709	1739	0.9827487061529615
Name-Facility-GOE-Sports_Facility	0.003671339488900042	1602	2593	0.6178172001542614
Name-Product-Doctrine_Method-Sport	0.0033642486702280035	1468	1571	0.9344366645448758
Name-Facility-Line-Railroad	0.003196952925727565	1395	1823	0.7652221612726275
Name-Product-Vehicle-Vehicle_Other	0.0031946612032001612	1394	1460	0.9547945205479452
Name-Location-Geological_Region-Geological_Region-Geological_Region_Other	0.003192369480672758	1393	2691	0.5176514306949089
Name-Facility-GOE-Museum	0.0030686164641929815	1339	2452	0.5460848287112561
Name-Product-Drug-Substance	0.0028669448817814935	1251	1337	0.9356768885564697
Name-Natural_Object-Living_Thing-Bird	0.002809651818596412	1226	1325	0.9252830188679245
Name-Product-Printing-Newspaper	0.0026996491372810547	1178	2006	0.5872382851445663
Name-Place-Location_Other	0.00249339410981476	1088	1997	0.5448172258387581
Name-Facility-Archaeological_Place-Archaeological_Place_Other	0.0024567265493763077	1072	1516	0.7071240105540897
Name-Location-Astral_Body-Star	0.0024361010466296784	1063	1137	0.9349164467897977
Name-Natural_Object-Living_Thing-Fish	0.0023535990356431604	1027	1086	0.9456721915285451
Name-Location-Geological_Region_Island	0.0023513073131157572	1026	1980	0.5181818181818182
Name-Location-Astral_Body-Astral_Body_Other	0.0023375569779513377	1020	1417	0.7198306280875089
Name-Product-Printing-Magazine	0.002314639752677305	1010	1648	0.6128640776699029
Name-Event-Occasion-Occasion_Other	0.0022573466894922232	985	1523	0.6467498358502954
Name-Organization-Corporation-CompanyName-Facility-GOE-School	0.0022550549669648197	984	1430	0.6881118881118881
Name-Natural_Object-Living_Thing-Reptile	0.002220679129053771	969	1097	0.8833181403828624
Time_TOP-Timex-Holiday	0.002090050944991784	912	1138	0.8014059753954306
Name-Product-Vehicle-Train	0.001886087640052893	823	935	0.8802139037433155
Name-Facility-GOE-Worship_Place	0.0017187918955524541	750	1170	0.6410256410256411
Name-Product-Art-Art_Other	0.001709625005442841	746	1250	0.5968
Name-Product-Unit-Currency	0.00149878653292174	654	812	0.8054187192118226
Name-Natural_Object-Living_Thing-Mollusc_Arthropod	0.001473577585120304	643	679	0.946980854197349
Name-Product-Language-Language_Other	0.0014529520823736745	634	720	0.8805555555555555
Name-Event-Natural_Phenomenon-Natural-Earthquake	0.0012077377719415243	527	639	0.8247261345852895
Name-Location-Geological_Region-Lake	0.0012054460494141212	526	1139	0.4618086040386304
Name-Facility-Line-Bridge	0.0010702344202973282	467	775	0.6025806451612903
Name-Location-Planet	0.0009579400164545677	418	555	0.7531531531531531
Name-Natural_Object-Living_Thing-Fungus	0.0009464814038175514	413	420	0.9833333333333333
Name-Location-Geological_Region_Mountain	0.0008571042252488237	374	548	0.6824817518248175
Name-Natural_Object-Living_Thing-Amphibian	0.0006050147472344638	264	280	0.9428571428571428
Name-Natural_Object-Mineral	0.0005820975219604311	254	308	0.8246753246753247
Name-Facility-GOE-Theater	0.0005775140769056246	252	399	0.631578947368421
Time_TOP-Timex-Time	0.0005500134065767853	240	328	0.7317073170731707
Name-Location-Geological_Region-Geological_Region_Other	0.0005431382389945755	237	492	0.4817073170731707
Name-Facility-GOE-Amusement_Park	0.0004995955109739133	218	273	0.7985347985347986
Name-Facility-GOE-Park	0.00044001072526142824	192	436	0.44036697247706424
Name-Facility-GOE-Market	0.00032542459889126464	142	311	0.4565916398713826
Name-Facility-Line-Canal	0.0003139659862542483	137	255	0.5372549019607843
Name-Product-Vehicle-Spaceship	0.0003047990961446352	133	156	0.8525641025641025
Name-Color	0.0002543812005417632	111	122	0.9098360655737705
Name-Facility-Line-Tunnel	0.0001145861263701636	50	101	0.49504950495049505
Name-Location-Region-Region_Other	0.00011000268131535706	48	52	0.9230769230769231
Name-Location-Geological_Region-Sea	8.708545604132434e-05	38	63	0.6031746031746031
Name-Location-Constellation	8.479373351392107e-05	37	54	0.6851851851851852
Name-Event-Occasion-Conference	3.666756043845235e-05	16	23	0.6956521739130435
Name-Location-Region-Continental_Region	2.9792392856242538e-05	13	17	0.7647058823529411
Time_TOP-Time_TOP_Other	6.875167582209816e-06	3	3	1.0
